                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.956,                 4.1748,                 1.6679,                0.00288,                0.86395,                0.09755,                0.03171,                 1.7322,                 4.1029,                  1.493,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.7914,                 2.8679,                 1.4156,                0.84374,                0.07355,                 0.4296,                0.16491,                 1.7376,                 3.3506,                 1.3917,               0.041178,              0.0061782,              0.0061782
                      2,                 1.7393,                 2.2838,                 1.3732,                0.35535,                0.01891,                0.05909,                0.02031,                 2.5292,                 4.0042,                 2.1985,                0.01083,              0.0088298,              0.0088298
                      3,                  1.879,                 2.2805,                 1.4654,                 0.1607,                0.20319,                0.10993,                0.04286,                 2.3918,                 3.4817,                 1.9332,               0.008515,               0.008515,               0.008515
                      4,                  1.839,                 2.0486,                 1.5095,                 0.1421,                0.10204,                 0.0638,                0.01868,                  2.541,                 3.6568,                 2.0632,               0.008515,               0.008515,               0.008515
                      5,                 1.8003,                 1.9374,                 1.4789,                0.18805,                0.09524,                0.06389,                0.02364,                 2.5804,                 3.6414,                 2.1158,                0.00802,                0.00802,                0.00802
                      6,                 1.8362,                 1.9428,                 1.4949,                0.36273,                 0.2381,                0.20487,                0.06933,                 2.3902,                 3.0457,                  1.962,               0.007525,               0.007525,               0.007525
                      7,                 1.7117,                 1.6813,                 1.3996,                0.40554,                0.03401,                 0.0303,                0.01834,                 2.8239,                 4.3884,                 2.5003,                0.00703,                0.00703,                0.00703
                      8,                  1.736,                 1.6311,                 1.4063,                0.22293,                0.07029,                0.05908,                0.03314,                 2.2219,                 3.8025,                 2.0603,               0.006535,               0.006535,               0.006535
                      9,                 1.6255,                 1.4884,                 1.3522,                0.35511,                0.19728,                 0.2041,                0.07397,                  2.206,                 2.8835,                 1.7165,                0.00604,                0.00604,                0.00604
                     10,                 1.6773,                 1.5081,                 1.3539,                0.19329,                0.26531,                0.11821,                0.03572,                 2.2924,                 2.8466,                 1.6359,               0.005545,               0.005545,               0.005545
                     11,                 1.6533,                 1.4328,                 1.3507,                0.56869,                0.67272,                0.62421,                 0.2762,                 1.8144,                 1.6614,                 1.4482,                0.00505,                0.00505,                0.00505
                     12,                 1.5656,                  1.332,                 1.3097,                0.62583,                0.57143,                0.58282,                0.23109,                 1.8975,                 1.6684,                 1.4435,               0.004555,               0.004555,               0.004555
                     13,                 1.5649,                 1.3063,                 1.3081,                0.71579,                 0.7551,                0.78212,                0.38459,                   1.61,                 1.2989,                  1.302,                0.00406,                0.00406,                0.00406
                     14,                 1.5441,                 1.2165,                 1.2885,                0.55929,                 0.4898,                 0.5035,                0.23516,                 1.8574,                 1.8872,                 1.4879,               0.003565,               0.003565,               0.003565
                     15,                 1.5291,                 1.1841,                 1.2909,                0.35709,                0.31973,                0.25479,                0.09538,                 2.1885,                 2.6228,                 1.9349,                0.00307,                0.00307,                0.00307
                     16,                 1.5183,                 1.1381,                 1.2859,                0.71688,                0.70068,                0.75234,                0.33436,                 1.7751,                 1.4475,                 1.4223,               0.002575,               0.002575,               0.002575
                     17,                 1.4775,                  1.111,                 1.2602,                0.60665,                0.55102,                0.57343,                0.25109,                 1.8867,                 1.7773,                 1.4934,                0.00208,                0.00208,                0.00208
                     18,                 1.4358,                 1.0936,                 1.2399,                0.80383,                0.86395,                0.91241,                0.48839,                 1.5014,                 1.0295,                 1.2679,               0.001585,               0.001585,               0.001585
                     19,                 1.3699,                 1.0319,                 1.2098,                0.87171,                0.85714,                0.90637,                0.49018,                 1.4953,                 1.0263,                 1.2616,                0.00109,                0.00109,                0.00109
